edge_id,risk,risk_dark,incident_count
395583,5.0,5.0,1
395728,3.0,3.0,1
395771,3.9000000000000004,5.8500000000000005,1
395870,9.1,13.65,2
396154,2.0,2.0,1
396658,5.0,5.0,1
396662,3.9000000000000004,3.9000000000000004,1
396782,5.0,5.0,1
396786,10.0,10.0,2
396792,3.0,3.0,1
396845,5.0,5.0,1
397030,5.0,7.5,1
397038,5.0,7.5,1
397103,5.0,5.0,1
397688,5.0,5.0,1
398706,6.5,6.5,1
398712,2.0,2.0,1
398713,3.0,4.5,1
398720,8.0,10.5,2
399635,2.0,2.0,1
399981,13.0,19.5,1
401245,6.5,6.5,1
401316,3.9000000000000004,5.8500000000000005,1
401599,3.9000000000000004,3.9000000000000004,1
401924,2.0,3.0,1
402880,3.9000000000000004,3.9000000000000004,1
402893,3.9000000000000004,3.9000000000000004,1
403683,3.0,3.0,1
403781,2.6,2.6,1
403919,13.0,13.0,1
404210,3.0,3.0,1
404270,5.2,5.2,2
404341,2.0,2.0,1
404369,3.0,3.0,1
404458,6.5,9.75,1
404567,5.0,5.0,1
404601,3.0,3.0,1
404612,5.0,5.0,1
404734,5.0,5.0,1
405132,3.9000000000000004,3.9000000000000004,1
405641,5.0,7.5,1
406186,3.9000000000000004,3.9000000000000004,1
406777,5.0,5.0,1
407229,3.9000000000000004,3.9000000000000004,1
407448,5.0,7.5,1
407568,5.0,7.5,1
408117,5.0,5.0,1
408746,3.0,4.5,1
408756,5.0,7.5,1
409377,2.0,3.0,1
409745,5.0,5.0,1
409975,5.0,5.0,1
410090,3.0,3.0,1
410098,3.0,3.0,1
410100,3.0,3.0,1
410835,5.0,5.0,1
411151,3.0,4.5,1
411183,5.0,5.0,1
411410,3.9000000000000004,3.9000000000000004,1
411974,10.0,15.0,1
412123,13.0,14.5,2
412162,3.9000000000000004,5.8500000000000005,1
412323,5.0,5.0,1
412385,10.0,10.0,1
412843,11.5,11.5,2
412854,5.0,7.5,1
413812,3.0,4.5,1
413958,2.0,2.0,1
414024,10.4,12.350000000000001,2
414208,5.0,7.5,1
414716,5.0,5.0,1
415102,5.0,5.0,1
415153,6.5,9.75,1
415267,5.0,5.0,1
415842,5.0,5.0,1
415858,3.0,3.0,1
416087,5.0,5.0,1
416281,5.0,5.0,1
416502,6.5,6.5,1
416626,3.0,4.5,1
416949,2.0,2.0,1
417145,2.0,2.0,1
417280,5.0,7.5,1
417423,3.0,3.0,1
417505,2.0,2.0,1
417555,3.9000000000000004,5.8500000000000005,1
417646,3.0,4.5,1
417675,5.0,7.5,1
417807,5.0,5.0,1
417823,5.0,5.0,1
418297,5.0,5.0,1
418569,2.0,2.0,1
418882,5.0,5.0,1
419868,3.0,3.0,1
421108,6.5,6.5,1
421721,6.5,9.75,1
421816,2.0,2.0,1
422950,3.0,3.0,1
423200,5.0,7.5,1
423271,5.0,7.5,1
423434,2.0,2.0,1
423575,3.0,4.5,1
423651,3.0,3.0,1
424220,2.0,2.0,1
424523,3.0,4.5,1
425348,3.0,3.0,1
425473,2.0,3.0,1
425799,6.5,6.5,1
426305,5.0,7.5,1
426887,5.0,7.5,1
427218,6.5,6.5,1
427220,3.9000000000000004,3.9000000000000004,1
427383,3.0,4.5,1
427384,5.0,5.0,1
427558,6.5,9.75,1
427795,3.9000000000000004,3.9000000000000004,1
428173,5.0,7.5,1
428780,3.9000000000000004,3.9000000000000004,1
431856,5.0,5.0,1
433471,5.0,5.0,1
433964,3.0,3.0,1
433988,5.0,5.0,1
434256,5.0,5.0,1
434344,3.0,3.0,1
434383,2.6,2.6,1
434423,3.0,3.0,1
435062,3.0,4.5,1
435250,5.0,7.5,1
436082,6.5,6.5,1
436410,5.0,5.0,1
437095,5.0,5.0,1
437998,3.0,3.0,1
438332,5.0,7.5,1
439372,3.0,4.5,1
440218,2.0,3.0,1
440727,3.0,4.5,1
440739,3.0,3.0,1
440847,6.5,9.75,1
440993,3.0,3.0,1
441145,2.0,2.0,1
441553,3.0,4.5,1
441990,5.0,5.0,1
441991,5.0,5.0,1
442632,5.0,5.0,1
442778,3.0,3.0,1
443560,5.0,7.5,1
444213,3.9000000000000004,3.9000000000000004,1
444216,2.0,2.0,1
446116,6.5,6.5,1
447763,5.0,7.5,1
447764,2.0,2.0,1
447970,6.5,6.5,1
449191,6.5,6.5,1
449223,6.5,9.75,1
449335,6.5,6.5,1
449489,5.0,5.0,1
449517,6.5,6.5,1
449560,3.0,3.0,1
449590,6.5,6.5,1
450894,2.0,2.0,1
450896,5.0,5.0,2
451819,5.0,5.0,1
451826,3.0,3.0,1
451827,5.0,6.0,2
451843,5.0,7.5,1
452158,2.0,3.0,1
452183,3.0,3.0,1
452195,3.0,4.5,1
452834,2.0,2.0,1
452878,5.0,7.5,1
453286,5.0,5.0,1
453439,2.0,2.0,1
453443,2.0,2.0,1
453447,4.0,4.0,2
454051,2.6,3.9000000000000004,1
454060,6.5,6.5,1
456141,5.0,7.5,1
456291,5.0,5.0,1
456377,3.0,3.0,1
456691,5.0,7.5,1
456705,2.0,2.0,1
457490,2.6,2.6,1
457859,5.0,5.0,1
458412,5.0,5.0,1
459364,5.0,5.0,1
460573,5.0,5.0,1
460667,2.0,2.0,1
460678,2.0,2.0,1
460728,3.0,3.0,1
460744,2.0,2.0,1
460786,1.0,1.0,1
460792,2.0,3.0,1
460926,6.5,6.5,1
461016,5.0,7.5,1
461869,8.0,12.0,2
462104,3.0,3.0,1
462204,5.0,5.0,1
462618,5.0,7.5,1
463844,5.0,5.0,1
464209,3.0,3.0,1
464230,2.6,2.6,1
464289,2.0,2.0,1
464724,5.0,5.0,1
467156,6.5,6.5,1
